"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Contract","POST/cats","0","0","2","0","0"
"","API","","0","0","1","0","0"
"","API","Boundary","0","0","7","0","0"
"","Contract","GET/cats","0","0","2","0","0"
"","Contract","GET/cats/{id} invalid ID","0","0","3","0","0"
"","Contract","POST/cats invalid payload","0","0","6","0","0"
"","API","GET/cats/{id}","0","0","1","0","0"
"","Contract","DELETE/cats/{id} invalid ID","0","0","3","0","0"
"","Contract","DELETE/cats/{id}","0","0","1","0","0"
"","Contract","GET/cats/{id}","0","0","1","0","0"
"","API","POST/cats","0","0","2","0","0"
"","Contract","POST/cats with optional fields","0","0","1","0","0"
"","API","DELETE/cats/{id}","0","0","1","0","0"
